product_id,title,description,price,currency,availability,price_idr
310090686,Men's 3X Large Carbon Heather Cotton/Polyester Rain Defender Paxton Heavyweight Hooded Zip-Front Sweatshirt,"this heavyweight, water-repellent hooded sweatshirt has a zip front for fast layering. original fit. 13 oz., 75% cotton/25% polyester blend with rain defender durable water repellent. attached, jersey-lined three-piece hood with drawcord closure. antique-finish brass front zipper. two front hand-warmer pockets have a hidden security pocket inside. stretchable, spandex-reinforced rib-knit cuffs and waistband. locker loop facilitates hanging.",64.99,USD,InStock,1039839.9999999999
206724580,Turmode 30 ft. RP TNC Female to RP TNC Male Adapter Cable,"if you need more length between your existing wireless device and hi-gain antenna, this is the product for you. it's compatible with most wi-fi antennas, so it is easy for you to extend your wireless network. just replace your existing cable that runs between your wireless device and antenna and you're ready to use your network with extended range.",71.61,USD,InStock,1145760.0
310347105,Large Tapestry Bolster Bed,"polyester cover resembling rich italian tapestries wraps your pet in comfort and style. 100% recycled polyester high loft memoryfiber fill keeps pets elevated off cold floors for relief on tired joints and pressure points. a great fit for pets up to 100 lbs. zippered removable cover is machine washable in cold water only. to dry, use a delicate cycle or gentle setting with very low heat.",166.83,USD,InStock,2669280.0
312338711,16-Gauge-Sinks Vessel Sink in White with Faucet,it features a rectangle shape. this vessel set is designed to be installed as a undermount vessel set. it is constructed with ceramic. this vessel set comes with an enamel glaze finish in white color. it is designed for a deck mount faucet.,507.63,USD,InStock,8122080.0
308561619,Men's Crazy Horse 9'' Logger Boot - Steel Toe - Black Size 10.5(W),this 9 in. black full grain leather logger boot is tough. with plain soft toe and rubber outsole it provides dependable traction with a comfortable fit. it is made with goodyear welt construction so it is sturdy and secure.,103.59,USD,InStock,1657440.0
312917264,Mariana 6 ft. Multi-Color 3-Panel Screen Divider,"with robust structure and sophisticated canvas printing, this 3-panel screen is colorfully designed to be a great way to carve out space in your room or anywhere around the home. not only will this elegant piece give you the needed exclusivity but it will also add inspiring style and beauty to your decor. this screen creatively features canvas print of a different and complementary images on each side. with its lightweight construction, our screen will definitely fill your space with inspiring visual flair for many-years to come. 3-panel screen finished on both sides canvas printing.",550.24,USD,InStock,8803840.0
316216346,5 gal. #650C-2 Powdery Mist Semi-Gloss Interior Paint,"behr pro i300 semi-gloss interior paint has a sleek, radiant sheen appearance. this professional quality latex paint has superior hide and coverage, excellent sprayability, spray and back-roll, and superior touch-up. use on properly prepared and primed drywall, concrete, masonry, wood and metal surfaces in both residential and commercial applications.",118.0,USD,InStock,1888000.0
312450240,7/8 in. x 4-1/2 in. x 0.045 in. Metal and Stainless Cutting Wheel (50-Pack),dewalt high performance 0.045 in. metal cutting wheels have a thin 0.045 in. cutting edge design for fast burr free cutting. they have a proprietary aluminum oxide grain combination for aggressive cutting action and the proprietary material mix ensures durable long life wheels. they have 2-full sheets of fiberglass for durability and user safety. these wheels are ideal for high performance cutting in all types of ferrous metals and stainless steel.,44.97,USD,InStock,719520.0
300980025,Ring Gold Bar Cart,this ring bar cart is sure to make a statement in any room. this carts features a metal frame in gold and the two shelves are made of mirror with an antique finish. we offer a wide variety of furniture and decorative accessories to meet all of your decor needs.,278.0,USD,InStock,4448000.0
312271339,Traditional Silver Wooden Vanity Table,this transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. it enhances the beauty of the room.,354.11,USD,InStock,5665760.0
