index,product_id,title,description,price,currency,availability
0,310090686,Men's 3X Large Carbon Heather Cotton/Polyester Rain Defender Paxton Heavyweight Hooded Zip-Front Sweatshirt,"This heavyweight, water-repellent hooded sweatshirt has a zip front for fast layering. ORIGINAL FIT. 13 oz., 75% cotton/25% polyester blend with Rain Defender durable water repellent. Attached, jersey-lined three-piece hood with drawcord closure. Antique-finish brass front zipper. Two front hand-warmer pockets have a hidden security pocket inside. Stretchable, spandex-reinforced rib-knit cuffs and waistband. Locker loop facilitates hanging.",64.99,USD,InStock
1,206724580,Turmode 30 ft. RP TNC Female to RP TNC Male Adapter Cable,"If you need more length between your existing wireless device and Hi-Gain Antenna, this is the product for you. It's compatible with most Wi-Fi Antennas, so it is easy for you to extend your wireless network. Just replace your existing cable that runs between your wireless device and Antenna and you're ready to use your network with extended range.",71.61,USD,InStock
2,310347105,Large Tapestry Bolster Bed,"Polyester cover resembling rich Italian tapestries wraps your pet in comfort and style. 100% recycled polyester high loft MemoryFiber fill keeps pets elevated off cold floors for relief on tired joints and pressure points. A great fit for pets up to 100 lbs. Zippered removable cover is machine washable in cold water only. To dry, use a delicate cycle or gentle setting with very low heat.",166.83,USD,InStock
3,312338711,16-Gauge-Sinks Vessel Sink in White with Faucet,It features a rectangle shape. This vessel set is designed to be installed as a undermount vessel set. It is constructed with ceramic. This vessel set comes with an enamel glaze finish in White color. It is designed for a deck mount faucet.,507.63,USD,InStock
4,308561619,Men's Crazy Horse 9'' Logger Boot - Steel Toe - Black Size 10.5(W),This 9 in. black full grain leather logger boot is Tough. With plain soft toe and rubber outsole it provides dependable traction with a comfortable fit. It is made with Goodyear Welt Construction so it is sturdy and secure.,103.59,USD,InStock
5,312917264,Mariana 6 ft. Multi-Color 3-Panel Screen Divider,"With robust structure and sophisticated canvas printing, this 3-panel screen is colorfully designed to be a great way to carve out space in your room or anywhere around the home. Not only will this elegant piece give you the needed exclusivity but it will also add inspiring style and beauty to your decor. This screen creatively features canvas print of a different and complementary images on each side. With its lightweight construction, our screen will definitely fill your space with inspiring visual flair for many-Years to come. 3-panel screen finished on both sides Canvas printing.",550.24,USD,InStock
6,316216346,5 gal. #650C-2 Powdery Mist Semi-Gloss Interior Paint,"BEHR PRO i300 Semi-Gloss Interior Paint has a sleek, radiant sheen appearance. This professional quality latex paint has superior hide and coverage, excellent sprayability, spray and back-roll, and superior touch-up. Use on properly prepared and primed drywall, concrete, masonry, wood and metal surfaces in both residential and commercial applications.",118,USD,InStock
7,312450240,7/8 in. x 4-1/2 in. x 0.045 in. Metal and Stainless Cutting Wheel (50-Pack),DEWALT High Performance 0.045 in. Metal Cutting Wheels have a thin 0.045 in. cutting edge design for fast burr free cutting. They have a proprietary aluminum oxide grain combination for aggressive cutting action and the proprietary material mix ensures durable long life wheels. They have 2-full sheets of fiberglass for durability and user safety. These wheels are ideal for high performance cutting in all types of ferrous metals and stainless steel.,44.97,USD,InStock
8,300980025,Ring Gold Bar Cart,This Ring Bar Cart is sure to make a statement in any room. This carts features a metal frame in gold and the two shelves are made of mirror with an antique finish. We offer a wide variety of furniture and decorative accessories to meet all of your decor needs.,278,USD,InStock
9,312271339,Traditional Silver Wooden Vanity Table,This transitional vanity table proudly displays gently curved legs that help draw attention to the carved details on the drawer panels. Spread out your makeup and beauty products across the two shelves or in the multiple drawers so everything is in one place. It enhances the beauty of the room.,354.11,USD,InStock
10,310824974,15 in. x 59 in. Open Louvered Polypropylene Shutters Pair in Peppercorn,"Its easy to add a decorative touch to your home with these beautiful Louvered Shutters from Ply Gem. Inspired by the classic Old World and early American style, they capture the rich, natural texture of real wood without the splitting, cracking and peeling. Built strong and thick, they're high quality and simple to install. Best of all, they're guaranteed to last a lifetime. Ply Gem shutters feature a tough acrylic coating to protect against sun, wind and rain, and they come in a wide variety of standard heights and widths as well as special order sizes to fit virtually any window. Ply Gem Louvered Shutters can be paired with arched tops to accent circle top windows for added height and impact.",67.15,USD,InStock
11,310916160,1 qt. #350F-7 Wild Mushroom Semi-Gloss Enamel Low Odor Interior Paint & Primer,"BEHR PREMIUM PLUS Interior Paint & Primer offers exceptional durability and hide with a finish that resists mildew and stains. In addition, you'll enjoy the benefits of a low odor paint. PREMIUM PLUS is highly ranked by independent 3rd party labs and meets LEED and GREENGUARD GOLD requirements.",15.48,USD,InStock
12,318977096,Anthracite Cordless Light Filtering Fabric Cellular Shade 9/16 in. Single Cell 46.5 in. W x 72 in. L,"BlindsAvenue light filtering cellular shades will save you money on your energy bills. Your home stays cooler in the summer and warmer in the winter with our 9/16 in. single cell light filtering cellular shade. BlindsAvenue neutral tones and popular colors will give you the ability to design your room in style. Strong PVC rails will give you the durability that you need. The light filtering fabric will give you complete privacy while letting light to filter into the room. BlindsAvenue light filtering cellular shades can be ordered to fit any window between 18 in. and 72 in. wide and up to 72 in. tall. BlindsAvenue light filtering cellular shades with cordless operation allows the shade to stop at any length up to 72 in. tall. For windows less than 48 in. tall order the 48 in. height. For windows between 48 in. tall and 72 in. tall order the 72 in. length, you just simply lower the shade at the desired length. BlindsAvenue cordless option also means the cellular shades are perfect for child and pet safety. From home offices to living rooms, nurseries to basements, light filtering cellular shades are perfect for any area of your home or office. Browse our selection of colors and sizes now. We know that you will find something you love.",62.3,USD,InStock
13,313486617,"SlimGrip 78-Inch Black Aluminum Truck Running Boards, Select Ram 1500 Quad Cab","Luverne SlimGrip truck running boards combine rugged style and durable construction to make the perfect side step for any truck. They feature powder-coated aluminum construction for long-lasting weather resistance, expanded metal treads for dependable traction and a sleek profile and angular end caps for an aggressive look on your truck. SlimGrip running boards are also equipped with the VersaTrac system for easy customization and each application installs with no drilling required.",418.56,USD,InStock
14,205778953,6 in. x 28 in. x 28 in. Douglas Fir Balboa Arts and Crafts Rough Sawn Outlooker,"Our Rustic Collection is an instant classic. Rustic wood millwork utilizes the technologies of today to build the 'log and timber' wood products that have been in architecture for centuries. Because our products are not kiln dried, each item in our Rustic Collection is 100% unique and will contain the natural variations that the wood species offers. Your wood bracket, corbel, rafter tail, will contain unique colors, grains, textures, knots, sapwood and heartwood content and possible sap bleeding and even natural checking, splitting and cracks. These natural variations are what make the Rustic Collection stand out from the rest. Be proud of your project; stand out from the cookie-cutter homes; use the Rustic Collection family of products.",184.75,USD,InStock
15,304017784,Espresso Cordless Room Darkening 2.5 in. Premium Faux Wood Blind for Window - 35.5 in. W x 48 in. L,"The 2-1/2 in. Cordless Premium Faux Wood Blind by Home Decorators Collection brings beauty and style to your home. Cordless blinds add a cleaner look and are safer for children and pets. These blinds are designed with 25% larger slats for a greater outside view. Specially designed ""no-hole"" slats offer total light and privacy control. The 3 in. decorative crown valance adds a contemporary style to your home and complements any decor. Slats are made from heat and moisture resistant material that is energy efficient and will not warp or crack. These blinds are ideally used for bathrooms, kitchens and garages. For maximum light and privacy control, rotate the slats downward to ensure proper closure.",62.66,USD,InStock
16,205264809,5 gal. #BL-W10 Maui Mist Semi-Gloss Enamel Low Odor Interior Paint & Primer,"BEHR PREMIUM PLUS Interior Paint & Primer offers exceptional durability and hide with a finish that resists mildew and stains. In addition, you'll enjoy the benefits of a low odor paint. PREMIUM PLUS is highly ranked by independent 3rd party labs and meets LEED and GREENGUARD GOLD requirements.",158,USD,InStock
17,312952720,Eleyn 26 in. Indoor Chrome Remote Controlled Fandelier with Light Kit,"This lighted chrome finished ceiling fan can also call fandelier, unlike the other ceiling fan, the said item carries the 3 ABS blade for the fan by the outer 6 light bulbs surrounded by the shiny design that adds brighter illumination.",1035.64,USD,InStock
